FIFO: 1877
204 5280 45
205 2327 3
206 10487 37
207 627 16
208 6745 35
209 627 31
210 6745 36
211 3758 11
212 10487 38
213 627 0
214 627 1
215 5280 41
216 627 20
217 627 24
218 5280 40
219 2327 5
LRU: 1891
0 10487 8
1 7827 4
2 4739 29
3 8772 15
4 5280 43
5 770 21
6 7827 20
7 2958 3
8 10487 16
9 1642 2
10 7993 10
11 7993 9
12 7827 31
13 627 24
14 770 2
15 1642 17
16 2958 30
17 627 0
18 6745 17
19 6745 37
20 8772 23
21 1642 4
22 2327 30
23 2620 37
24 10487 38
25 2958 26
26 9155 9
27 3758 0
28 5822 26
29 2620 31
30 1642 12
31 7827 21
32 7993 25
33 7827 35
34 2958 32
35 9155 1
36 7827 22
37 9725 6
38 2327 29
39 2620 34
40 9155 12
41 9725 17
42 2327 1
43 3758 15
44 9155 5
45 10487 36
46 5822 25
47 7293 15
48 1642 16
49 7293 24
50 627 22
51 10186 15
52 7827 30
53 2620 33
54 10487 37
55 9725 25
56 770 22
57 2894 8
58 7293 9
59 8772 16
60 4739 18
61 1642 28
62 2894 7
63 770 20
64 1642 13
65 7993 18
66 1642 24
67 2620 3
68 3758 19
69 7993 7
70 5280 14
71 10487 39
72 4739 33
73 5280 30
74 3758 11
75 7293 20
76 770 0
77 2894 6
78 770 3
79 5822 4
80 3758 3
81 10186 8
82 770 1
83 1642 19
84 770 18
85 2620 4
86 2620 35
87 7293 1
88 770 8
89 2894 31
90 2894 4
91 627 1
92 10186 7
93 6745 15
94 6745 4
95 4739 36
96 2894 33
97 6745 34
98 10487 34
99 8772 27
100 3758 14
101 9725 8
102 6745 3
103 9155 6
104 10186 4
105 5822 12
106 10186 5
107 7293 7
108 5822 8
109 7993 16
110 9725 23
111 2894 9
112 1642 22
113 5280 31
114 770 10
115 1642 14
116 3758 2
117 7293 26
118 10186 17
119 7827 36
120 2894 0
121 2958 29
122 4739 23
123 2327 3
124 6745 35
125 2620 9
126 2620 7
127 6745 32
128 5280 39
129 9725 5
130 7993 6
131 9725 18
132 10487 15
133 5822 28
134 4739 43
135 7827 18
136 7293 17
137 7827 19
138 770 23
139 9725 19
140 5280 15
141 7827 17
142 10186 6
143 2620 5
144 8772 25
145 10186 16
146 10186 18
147 9725 7
148 8772 24
149 9725 10
150 2327 27
151 3758 17
152 2620 36
153 7993 24
154 5822 5
155 8772 12
156 10186 3
157 4739 34
158 4739 8
159 2958 27
160 2958 31
161 2327 38
162 3758 12
163 7293 21
164 2958 28
165 2894 5
166 9155 36
167 9155 3
168 5822 2
169 9155 7
170 5822 7
171 2327 16
172 9155 2
173 9725 4
174 5280 40
175 2894 2
176 8772 22
177 7293 28
178 2958 4
179 4739 32
180 3758 16
181 8772 10
182 2958 25
183 7993 0
184 2958 34
185 4739 45
186 4739 31
187 7993 8
188 10186 2
189 9155 11
190 9155 0
191 7293 16
192 6745 16
193 5822 3
194 627 11
195 8772 17
196 2327 5
197 5280 45
198 2327 39
199 2894 1
200 5822 21
201 8772 14
202 10487 35
203 7993 17
204 5280 16
205 2327 14
206 10487 17
207 627 16
208 6745 14
209 627 15
210 6745 36
211 3758 9
212 10487 14
213 627 7
214 627 9
215 5280 17
216 627 17
217 627 31
218 5280 41
219 2327 18
OPT: 1253
0 10487 39
1 7827 31
2 4739 29
3 8772 16
4 5280 43
5 770 22
6 7827 19
7 2958 25
8 10487 34
9 1642 22
10 7993 26
11 7993 0
12 7827 35
13 627 15
14 770 23
15 1642 21
16 2958 31
17 627 22
18 6745 36
19 6745 37
20 8772 22
21 1642 19
22 2327 5
23 2620 7
24 10487 14
25 2958 32
26 9155 38
27 3758 30
28 5822 2
29 2620 9
30 1642 24
31 7827 7
32 7993 18
33 7827 18
34 2958 30
35 9155 14
36 7827 10
37 9725 14
38 2327 18
39 2620 40
40 9155 2
41 9725 8
42 2327 38
43 3758 12
44 9155 39
45 10487 8
46 5822 21
47 7293 21
48 1642 0
49 7293 7
50 627 20
51 10186 17
52 7827 8
53 2620 33
54 10487 15
55 9725 17
56 770 19
57 2894 5
58 7293 28
59 8772 15
60 4739 23
61 1642 4
62 2894 7
63 770 8
64 1642 12
65 7993 4
66 1642 2
67 2620 4
68 3758 9
69 7993 8
70 5280 31
71 10487 16
72 4739 34
73 5280 15
74 3758 16
75 7293 20
76 770 0
77 2894 0
78 770 18
79 5822 23
80 3758 0
81 10186 19
82 770 21
83 1642 13
84 770 1
85 2620 32
86 2620 2
87 7293 9
88 770 20
89 2894 31
90 2894 4
91 627 16
92 10186 15
93 6745 4
94 6745 17
95 4739 15
96 2894 9
97 6745 14
98 10487 38
99 8772 23
100 3758 3
101 9725 18
102 6745 28
103 9155 0
104 10186 30
105 5822 28
106 10186 18
107 7293 10
108 5822 3
109 7993 15
110 9725 10
111 2894 2
112 1642 23
113 5280 41
114 770 13
115 1642 3
116 3758 8
117 7293 24
118 10186 2
119 7827 4
120 2894 21
121 2958 35
122 4739 4
123 2327 32
124 6745 31
125 2620 38
126 2620 35
127 6745 6
128 5280 17
129 9725 7
130 7993 7
131 9725 6
132 10487 35
133 5822 7
134 4739 33
135 7827 22
136 7293 16
137 7827 17
138 770 2
139 9725 16
140 5280 40
141 7827 30
142 10186 8
143 2620 34
144 8772 10
145 10186 3
146 10186 6
147 9725 23
148 8772 24
149 9725 25
150 2327 3
151 3758 11
152 2620 36
153 7993 24
154 5822 4
155 8772 14
156 10186 16
157 4739 31
158 4739 32
159 2958 27
160 2958 28
161 2327 29
162 3758 6
163 7293 15
164 2958 34
165 2894 1
166 9155 6
167 9155 36
168 5822 5
169 9155 3
170 5822 10
171 2327 14
172 9155 1
173 9725 19
174 5280 44
175 2894 20
176 8772 12
177 7293 11
178 2958 29
179 4739 9
180 3758 7
181 8772 25
182 2958 36
183 7993 9
184 2958 33
185 4739 18
186 4739 8
187 7993 17
188 10186 7
189 9155 9
190 9155 7
191 7293 37
192 6745 16
193 5822 12
194 627 24
195 8772 26
196 2327 1
197 5280 16
198 2327 34
199 2894 37
200 5822 8
201 8772 27
202 10487 36
203 7993 6
204 5280 45
205 2327 16
206 10487 37
207 627 0
208 6745 30
209 627 7
210 6745 32
211 3758 14
212 10487 17
213 627 1
214 627 17
215 5280 14
216 627 31
217 627 11
218 5280 46
219 2327 39
