FIFO: 1828
60 4739 18
61 1642 14
62 2894 32
63 770 0
64 1642 19
65 7993 17
66 1642 22
67 2620 2
68 3758 2
69 7993 18
70 5280 16
71 10487 17
72 4739 43
73 5280 44
74 3758 12
75 7293 17
76 770 23
77 2894 33
78 770 8
79 5822 25
80 3758 15
81 10186 15
82 770 19
83 1642 17
84 770 22
85 2620 9
86 2620 7
87 7293 1
88 770 2
89 2894 9
90 2894 6
91 627 7
92 10186 16
93 6745 34
94 6745 4
95 4739 23
96 2894 2
97 6745 36
98 10487 2
99 8772 12
100 3758 14
101 9725 5
102 6745 5
103 9155 9
104 10186 8
105 5822 26
106 10186 4
107 7293 20
108 5822 12
109 7993 8
110 9725 7
111 2894 31
112 1642 4
113 5280 39
114 770 21
115 1642 28
116 1642 13
117 3758 0
118 7293 15
119 10186 6
120 7827 17
121 2894 4
122 2958 26
123 4739 32
124 2327 18
125 6745 15
126 2620 37
127 2620 5
128 6745 3
129 5280 43
130 9725 18
131 7993 6
132 9725 4
133 10487 34
134 5822 13
135 4739 33
136 7827 31
137 7293 28
138 7827 4
139 770 1
140 9725 6
141 5280 15
142 7827 30
143 10186 7
144 2620 34
145 8772 20
146 10186 5
147 10186 17
148 9725 25
149 8772 17
150 9725 17
151 2327 3
152 3758 11
153 2620 4
154 7993 24
155 5822 3
156 8772 25
157 10186 18
158 4739 36
159 4739 8
160 2958 34
161 770 18
162 2958 32
163 2327 38
164 3758 19
165 7293 24
166 2958 29
167 7827 21
168 2894 1
169 9155 11
170 9155 1
171 5822 7
172 9155 2
173 5822 8
174 2327 30
175 9155 36
176 9725 8
177 5280 31
178 2894 8
179 9725 23
180 8772 27
181 7293 9
182 2958 4
183 4739 31
184 3758 17
185 8772 16
186 2958 28
187 7993 25
188 2958 3
189 4739 29
190 4739 35
191 2958 30
192 7993 7
193 10186 3
194 9155 5
195 9155 6
196 7293 11
197 6745 16
198 5822 28
199 2620 33
200 10186 19
201 627 15
202 8772 10
203 2327 39
204 5280 45
205 2327 27
206 2894 5
207 5822 21
208 8772 24
209 7293 26
210 2894 0
211 10487 35
212 7993 10
213 5280 41
214 7993 16
215 2327 34
216 10487 8
217 627 17
218 6745 17
219 5822 4
220 627 20
221 9155 7
222 6745 37
223 3758 3
224 6745 32
225 8772 15
226 10487 38
227 10487 37
228 4739 45
229 627 9
230 627 1
231 5280 14
232 627 16
233 627 11
234 627 24
235 5280 17
236 5280 40
237 3758 18
238 2327 5
239 2327 16
OPT: 1199
0 10487 38
1 7827 22
2 4739 33
3 8772 24
4 5280 31
5 770 0
6 7827 17
7 2958 29
8 10487 8
9 1642 12
10 7993 25
11 7993 18
12 7827 31
13 627 1
14 770 1
15 1642 21
16 2958 31
17 627 22
18 6745 28
19 6745 4
20 8772 15
21 1642 22
22 2327 14
23 2620 40
24 10487 14
25 2958 32
26 9155 36
27 3758 31
28 5822 7
29 2620 38
30 1642 3
31 7827 34
32 7993 0
33 7827 4
34 2958 28
35 9155 1
36 7827 18
37 9725 14
38 2327 31
39 2620 21
40 9155 28
41 9725 16
42 2327 39
43 3758 12
44 9155 7
45 10487 17
46 5822 12
47 7293 16
48 1642 1
49 7293 15
50 627 20
51 10186 16
52 7827 8
53 2620 34
54 10487 15
55 9725 17
56 770 2
57 2894 4
58 7293 28
59 8772 14
60 4739 29
61 1642 4
62 2894 34
63 770 8
64 1642 0
65 7993 9
66 1642 2
67 2620 2
68 3758 3
69 7993 24
70 5280 45
71 10487 4
72 4739 4
73 5280 15
74 3758 16
75 7293 24
76 770 13
77 2894 31
78 770 19
79 5822 10
80 3758 9
81 10186 3
82 770 22
83 1642 13
84 770 18
85 2620 7
86 2620 23
87 7293 4
88 770 21
89 2894 5
90 2894 21
91 627 27
92 10186 17
93 6745 6
94 6745 37
95 4739 15
96 2894 0
97 6745 32
98 10487 35
99 8772 28
100 3758 6
101 9725 2
102 6745 31
103 9155 0
104 10186 7
105 5822 23
106 10186 30
107 7293 20
108 5822 26
109 7993 15
110 9725 10
111 2894 9
112 1642 24
113 5280 47
114 770 3
115 1642 23
116 1642 19
117 3758 8
118 7293 11
119 10186 8
120 7827 35
121 2894 35
122 2958 34
123 4739 9
124 2327 34
125 6745 36
126 2620 35
127 2620 36
128 6745 15
129 5280 44
130 9725 7
131 7993 7
132 9725 6
133 10487 34
134 5822 8
135 4739 46
136 7827 19
137 7293 10
138 7827 7
139 770 15
140 9725 8
141 5280 17
142 7827 30
143 10186 2
144 2620 9
145 8772 22
146 10186 18
147 10186 15
148 9725 23
149 8772 27
150 9725 18
151 2327 3
152 3758 14
153 2620 32
154 7993 4
155 5822 4
156 8772 12
157 10186 19
158 4739 34
159 4739 8
160 2958 36
161 770 23
162 2958 38
163 2327 5
164 3758 30
165 7293 37
166 2958 25
167 7827 26
168 2894 2
169 9155 6
170 9155 14
171 5822 21
172 9155 3
173 5822 2
174 2327 18
175 9155 38
176 9725 19
177 5280 43
178 2894 20
179 9725 9
180 8772 10
181 7293 21
182 2958 27
183 4739 18
184 3758 7
185 8772 26
186 2958 33
187 7993 17
188 2958 30
189 4739 31
190 4739 23
191 2958 35
192 7993 8
193 10186 29
194 9155 9
195 9155 39
196 7293 7
197 6745 14
198 5822 28
199 2620 33
200 10186 4
201 627 24
202 8772 16
203 2327 29
204 5280 46
205 2327 32
206 2894 37
207 5822 3
208 8772 23
209 7293 9
210 2894 1
211 10487 23
212 7993 6
213 5280 30
214 7993 26
215 2327 1
216 10487 16
217 627 26
218 6745 17
219 5822 5
220 627 7
221 9155 2
222 6745 30
223 3758 4
224 6745 16
225 8772 25
226 10487 37
227 10487 36
228 4739 32
229 627 0
230 627 31
231 5280 40
232 627 16
233 627 17
234 627 15
235 5280 41
236 5280 16
237 3758 11
238 2327 38
239 2327 16
