FIFO: 1926
13 627 17
14 770 19
15 1642 13
16 2958 31
17 627 22
18 6745 32
19 6745 6
20 8772 23
21 1642 19
22 2327 38
23 2620 2
24 10487 14
25 2958 32
26 9155 36
27 3758 3
28 5822 5
29 2620 3
30 1642 12
31 7827 30
32 7993 18
33 7827 17
34 2958 33
35 9155 39
36 7827 19
37 9725 25
38 2327 29
39 2620 9
40 9155 0
41 9725 18
42 2327 39
43 3758 14
44 9155 38
45 10487 35
46 5822 2
47 7293 11
48 1642 23
49 7293 20
50 627 7
51 10186 6
52 7827 22
53 2620 7
54 10487 34
55 9725 17
56 770 22
57 2894 0
58 7293 9
59 8772 25
60 4739 9
61 1642 4
62 2894 7
63 770 0
64 1642 0
65 7993 10
66 1642 2
67 2620 38
68 3758 0
69 7993 6
70 5280 15
71 10487 16
72 4739 8
73 5280 16
74 3758 16
75 7293 28
76 770 18
77 2894 37
78 770 23
79 5822 8
80 3758 2
81 10186 2
82 770 2
83 1642 22
84 770 1
85 2620 36
86 2620 4
87 7293 7
88 770 20
89 2894 2
90 2894 4
91 627 31
92 10186 7
93 6745 34
94 6745 36
95 4739 23
96 2894 33
97 6745 16
98 10487 15
99 8772 10
100 3758 9
101 9725 29
102 6745 17
103 9155 1
104 10186 5
105 5822 21
106 10186 17
107 7293 24
108 5822 28
109 7993 24
110 9725 10
111 2894 9
112 1642 24
113 5280 31
114 770 21
115 3758 8
116 7293 10
117 10186 3
118 7827 35
119 2894 1
120 2958 34
121 4739 34
122 2327 1
123 6745 28
124 2620 40
125 2620 33
126 6745 4
127 5280 43
128 9725 8
129 7993 17
130 9725 19
131 10487 8
132 5822 12
133 4739 32
134 7827 4
135 7293 21
136 7827 31
137 9725 6
138 5280 45
139 10186 19
140 2620 35
141 8772 16
142 10186 8
143 10186 15
144 9725 7
145 8772 14
146 9725 23
147 2327 3
148 3758 11
149 7993 9
150 5822 4
151 8772 15
152 10186 30
153 4739 29
154 4739 31
155 2958 28
156 2958 25
157 2327 14
158 3758 12
159 7293 15
160 2958 35
161 2894 31
162 9155 2
163 9155 7
164 5822 23
165 9155 3
166 5822 7
167 2327 5
168 9155 12
169 5280 17
170 2894 20
171 8772 22
172 7293 16
173 2958 30
174 4739 26
175 3758 7
176 8772 24
177 2958 27
178 7993 4
179 4739 18
180 7993 8
181 9155 9
182 6745 37
183 5822 3
184 627 20
185 8772 27
186 2327 16
187 5280 40
188 2327 34
189 10487 38
190 5280 44
191 2327 18
192 10487 37
193 627 1
194 6745 14
195 627 24
196 627 11
197 627 9
198 5280 14
199 627 16
